from_id,to_id,from_type,to_type,from_location,to_location,distance_miles,travel_time_minutes,deadheading_cost,waiting_cost,delay_risk_cost,total_cost,waiting_time_minutes
fellsway_garage,65802629.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802630.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802631.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802632.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802633.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802634.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802635.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802636.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802637.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802657.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802658.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802659.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802660.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802661.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802662.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802663.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802664.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802665.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802666.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802667.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802668.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802669.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802670.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802671.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
65802629.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802630.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802631.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802632.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802633.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802634.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802635.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802636.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802637.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802657.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802658.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802659.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802660.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802661.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802662.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802663.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802664.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802665.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802666.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802667.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802668.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802669.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
