half_trip_id,route_id,direction_id,start_location,end_location,scheduled_start_time,scheduled_end_time,actual_start_time,actual_end_time
65802629,100,Outbound,welst,elm,2025-05-12 16:00:00,2025-05-12 16:11:00,2025-05-12 16:06:48,2025-05-12 16:18:58
65802630,100,Inbound,elm,welst,2025-05-12 16:15:00,2025-05-12 16:27:00,2025-05-12 16:23:13,2025-05-12 16:36:13
65802631,100,Outbound,welst,elm,2025-05-12 16:30:00,2025-05-12 16:41:00,2025-05-12 16:38:27,2025-05-12 16:47:10
65802632,100,Inbound,elm,welst,2025-05-12 16:45:00,2025-05-12 16:57:00,2025-05-12 16:52:23,2025-05-12 17:04:50
65802633,100,Outbound,welst,elm,2025-05-12 17:00:00,2025-05-12 17:11:00,2025-05-12 17:06:23,2025-05-12 17:18:22
65802634,100,Inbound,elm,welst,2025-05-12 17:15:00,2025-05-12 17:27:00,2025-05-12 17:19:12,2025-05-12 17:36:31
65802635,100,Outbound,welst,elm,2025-05-12 17:30:00,2025-05-12 17:41:00,2025-05-12 17:38:24,2025-05-12 17:48:19
65802636,100,Inbound,elm,welst,2025-05-12 17:45:00,2025-05-12 17:57:00,2025-05-12 17:53:12,2025-05-12 18:08:02
65802637,100,Outbound,welst,elm,2025-05-12 18:00:00,2025-05-12 18:11:00,2025-05-12 18:13:22,2025-05-12 18:25:34
65802657,100,Inbound,elm,welst,2025-05-12 18:15:00,2025-05-12 18:27:00,2025-05-12 18:17:48,2025-05-12 18:31:42
65802658,100,Outbound,welst,elm,2025-05-12 18:30:00,2025-05-12 18:41:00,2025-05-12 18:34:40,2025-05-12 18:47:12
65802659,100,Inbound,elm,welst,2025-05-12 18:45:00,2025-05-12 18:57:00,2025-05-12 18:47:59,2025-05-12 19:01:27
